Part 1: 248396258
Hand: 23758, Bet: 416, Type:1
Hand: 83QT5, Bet: 832, Type:1
Hand: 84QA9, Bet: 229, Type:1
Hand: 85436, Bet: 926, Type:1
Hand: 87A4K, Bet: 734, Type:1
Hand: 892TQ, Bet: 378, Type:1
Hand: 8TQ7K, Bet: 585, Type:1
Hand: 8K94Q, Bet: 691, Type:1
Hand: 98Q34, Bet: 109, Type:1
Hand: 9T428, Bet: 502, Type:1
Hand: 9T42Q, Bet: 485, Type:1
Hand: 9TK74, Bet: 704, Type:1
Hand: 9Q43K, Bet: 46, Type:1
Hand: 9Q765, Bet: 566, Type:1
Hand: T2K65, Bet: 536, Type:1
Hand: T4635, Bet: 744, Type:1
Hand: T57Q2, Bet: 519, Type:1
Hand: T65Q8, Bet: 576, Type:1
Hand: T8965, Bet: 288, Type:1
Hand: TQ3K8, Bet: 90, Type:1
Hand: TQ43K, Bet: 743, Type:1
Hand: TQ58A, Bet: 581, Type:1
Hand: Q23T9, Bet: 351, Type:1
Hand: Q2963, Bet: 899, Type:1
Hand: Q4A85, Bet: 759, Type:1
Hand: Q6745, Bet: 617, Type:1
Hand: Q746K, Bet: 65, Type:1
Hand: Q758K, Bet: 137, Type:1
Hand: Q79T3, Bet: 558, Type:1
Hand: Q8T54, Bet: 855, Type:1
Hand: Q9A73, Bet: 343, Type:1
Hand: QT345, Bet: 496, Type:1
Hand: QT46K, Bet: 493, Type:1
Hand: QT79A, Bet: 726, Type:1
Hand: QKT95, Bet: 425, Type:1
Hand: QA48K, Bet: 714, Type:1
Hand: QA572, Bet: 537, Type:1
Hand: QA74T, Bet: 755, Type:1
Hand: K247Q, Bet: 740, Type:1
Hand: K392T, Bet: 375, Type:1
Hand: K3Q6T, Bet: 60, Type:1
Hand: K3A8Q, Bet: 528, Type:1
Hand: K5368, Bet: 491, Type:1
Hand: K53T7, Bet: 587, Type:1
Hand: K56QT, Bet: 797, Type:1
Hand: K675Q, Bet: 688, Type:1
Hand: K72Q9, Bet: 665, Type:1
Hand: K7A3Q, Bet: 444, Type:1
Hand: K8456, Bet: 239, Type:1
Hand: K853T, Bet: 391, Type:1
Hand: K97T8, Bet: 732, Type:1
Hand: KT859, Bet: 155, Type:1
Hand: KA459, Bet: 13, Type:1
Hand: A29Q6, Bet: 756, Type:1
Hand: A5873, Bet: 985, Type:1
Hand: A5967, Bet: 478, Type:1
Hand: A5Q2T, Bet: 977, Type:1
Hand: A64QK, Bet: 723, Type:1
Hand: A68T2, Bet: 890, Type:1
Hand: A74K3, Bet: 121, Type:1
Hand: A8725, Bet: 531, Type:1
Hand: AT6Q4, Bet: 902, Type:1
Hand: 224T6, Bet: 213, Type:2
Hand: 226K5, Bet: 17, Type:2
Hand: 2324Q, Bet: 220, Type:2
Hand: 23982, Bet: 997, Type:2
Hand: 23Q92, Bet: 322, Type:2
Hand: 23A36, Bet: 909, Type:2
Hand: 24926, Bet: 114, Type:2
Hand: 24A5J, Bet: 827, Type:2
Hand: 26494, Bet: 408, Type:2
Hand: 27268, Bet: 289, Type:2
Hand: 2775Q, Bet: 649, Type:2
Hand: 283TT, Bet: 334, Type:2
Hand: 2998K, Bet: 673, Type:2
Hand: 29JTK, Bet: 211, Type:2
Hand: 29QJ8, Bet: 195, Type:2
Hand: 2J95K, Bet: 428, Type:2
Hand: 2QJ58, Bet: 569, Type:2
Hand: 2AJ49, Bet: 560, Type:2
Hand: 32726, Bet: 545, Type:2
Hand: 336A4, Bet: 682, Type:2
Hand: 338Q7, Bet: 412, Type:2
Hand: 34J58, Bet: 132, Type:2
Hand: 34AKA, Bet: 551, Type:2
Hand: 35229, Bet: 30, Type:2
Hand: 356A6, Bet: 957, Type:2
Hand: 368K8, Bet: 12, Type:2
Hand: 37525, Bet: 130, Type:2
Hand: 378JQ, Bet: 572, Type:2
Hand: 3793A, Bet: 346, Type:2
Hand: 385KJ, Bet: 602, Type:2
Hand: 38T43, Bet: 856, Type:2
Hand: 38TAJ, Bet: 224, Type:2
Hand: 3923Q, Bet: 532, Type:2
Hand: 394QQ, Bet: 108, Type:2
Hand: 39T4J, Bet: 470, Type:2
Hand: 39Q44, Bet: 663, Type:2
Hand: 3T2K2, Bet: 941, Type:2
Hand: 3J5K9, Bet: 762, Type:2
Hand: 3JA7K, Bet: 469, Type:2
Hand: 3A9AQ, Bet: 550, Type:2
Hand: 428JT, Bet: 910, Type:2
Hand: 43JKA, Bet: 387, Type:2
Hand: 44T2A, Bet: 409, Type:2
Hand: 452J3, Bet: 297, Type:2
Hand: 45788, Bet: 276, Type:2
Hand: 47876, Bet: 59, Type:2
Hand: 488A5, Bet: 757, Type:2
Hand: 48J56, Bet: 604, Type:2
Hand: 48K49, Bet: 75, Type:2
Hand: 4925J, Bet: 127, Type:2
Hand: 4T922, Bet: 115, Type:2
Hand: 4JK85, Bet: 463, Type:2
Hand: 4A69J, Bet: 998, Type:2
Hand: 4A6J5, Bet: 178, Type:2
Hand: 53T99, Bet: 517, Type:2
Hand: 53KK2, Bet: 746, Type:2
Hand: 5465A, Bet: 70, Type:2
Hand: 552K3, Bet: 804, Type:2
Hand: 577A3, Bet: 526, Type:2
Hand: 57927, Bet: 766, Type:2
Hand: 57J42, Bet: 437, Type:2
Hand: 589KK, Bet: 686, Type:2
Hand: 58K84, Bet: 462, Type:2
Hand: 59429, Bet: 418, Type:2
Hand: 5T664, Bet: 807, Type:2
Hand: 5Q95A, Bet: 942, Type:2
Hand: 5KK74, Bet: 904, Type:2
Hand: 5KA22, Bet: 522, Type:2
Hand: 5A6T6, Bet: 565, Type:2
Hand: 62T99, Bet: 876, Type:2
Hand: 62K2T, Bet: 993, Type:2
Hand: 63878, Bet: 482, Type:2
Hand: 6463Q, Bet: 648, Type:2
Hand: 6525A, Bet: 215, Type:2
Hand: 65JQ4, Bet: 499, Type:2
Hand: 66829, Bet: 413, Type:2
Hand: 673TT, Bet: 149, Type:2
Hand: 676A2, Bet: 754, Type:2
Hand: 67K36, Bet: 694, Type:2
Hand: 6TT48, Bet: 218, Type:2
Hand: 6TT94, Bet: 487, Type:2
Hand: 6QTT5, Bet: 339, Type:2
Hand: 6A269, Bet: 623, Type:2
Hand: 6A6Q3, Bet: 188, Type:2
Hand: 72T9T, Bet: 186, Type:2
Hand: 737Q6, Bet: 908, Type:2
Hand: 73832, Bet: 247, Type:2
Hand: 73T72, Bet: 868, Type:2
Hand: 74QKJ, Bet: 261, Type:2
Hand: 755AQ, Bet: 402, Type:2
Hand: 75JA9, Bet: 838, Type:2
Hand: 7769K, Bet: 365, Type:2
Hand: 78225, Bet: 453, Type:2
Hand: 782T7, Bet: 823, Type:2
Hand: 79269, Bet: 501, Type:2
Hand: 79954, Bet: 664, Type:2
Hand: 79A8J, Bet: 831, Type:2
Hand: 7T898, Bet: 190, Type:2
Hand: 7T98J, Bet: 84, Type:2
Hand: 7TK8T, Bet: 242, Type:2
Hand: 7J52Q, Bet: 185, Type:2
Hand: 7Q9JK, Bet: 454, Type:2
Hand: 7A6A9, Bet: 640, Type:2
Hand: 7A745, Bet: 285, Type:2
Hand: 82AA7, Bet: 716, Type:2
Hand: 85633, Bet: 439, Type:2
Hand: 8573J, Bet: 753, Type:2
Hand: 86T58, Bet: 48, Type:2
Hand: 8722K, Bet: 978, Type:2
Hand: 88Q26, Bet: 994, Type:2
Hand: 89492, Bet: 529, Type:2
Hand: 8T58K, Bet: 975, Type:2
Hand: 8T58A, Bet: 811, Type:2
Hand: 8TT56, Bet: 401, Type:2
Hand: 8TQJK, Bet: 656, Type:2
Hand: 8Q846, Bet: 892, Type:2
Hand: 8QQ53, Bet: 310, Type:2
Hand: 92284, Bet: 725, Type:2
Hand: 92J3A, Bet: 33, Type:2
Hand: 92Q95, Bet: 702, Type:2
Hand: 93653, Bet: 593, Type:2
Hand: 93TJ7, Bet: 721, Type:2
Hand: 93QA3, Bet: 833, Type:2
Hand: 959QK, Bet: 348, Type:2
Hand: 95Q58, Bet: 240, Type:2
Hand: 96T7T, Bet: 4, Type:2
Hand: 96A98, Bet: 55, Type:2
Hand: 9K277, Bet: 300, Type:2
Hand: 9A2TA, Bet: 483, Type:2
Hand: 9A388, Bet: 779, Type:2
Hand: 9A9T6, Bet: 282, Type:2
Hand: T23TA, Bet: 95, Type:2
Hand: T33KQ, Bet: 969, Type:2
Hand: T4233, Bet: 143, Type:2
Hand: T44A6, Bet: 498, Type:2
Hand: T4Q2T, Bet: 984, Type:2
Hand: T4QKK, Bet: 637, Type:2
Hand: T4A22, Bet: 367, Type:2
Hand: T573J, Bet: 790, Type:2
Hand: T5T93, Bet: 193, Type:2
Hand: T5AKA, Bet: 256, Type:2
Hand: T6922, Bet: 736, Type:2
Hand: T6TQ7, Bet: 104, Type:2
Hand: T762J, Bet: 901, Type:2
Hand: T876T, Bet: 82, Type:2
Hand: T8J2A, Bet: 266, Type:2
Hand: T8JA5, Bet: 338, Type:2
Hand: T985J, Bet: 440, Type:2
Hand: T9A6T, Bet: 473, Type:2
Hand: TJ52A, Bet: 299, Type:2
Hand: TJ746, Bet: 654, Type:2
Hand: TQJ3A, Bet: 449, Type:2
Hand: TA9QQ, Bet: 337, Type:2
Hand: J2467, Bet: 296, Type:2
Hand: J3QA7, Bet: 988, Type:2
Hand: J4K37, Bet: 386, Type:2
Hand: J5K36, Bet: 117, Type:2
Hand: J6398, Bet: 392, Type:2
Hand: J8K4T, Bet: 809, Type:2
Hand: J8KQ3, Bet: 817, Type:2
Hand: J96QA, Bet: 628, Type:2
Hand: J972T, Bet: 120, Type:2
Hand: J97A2, Bet: 312, Type:2
Hand: J97A4, Bet: 891, Type:2
Hand: JT4Q9, Bet: 323, Type:2
Hand: JT728, Bet: 511, Type:2
Hand: JQ86T, Bet: 801, Type:2
Hand: JQK34, Bet: 78, Type:2
Hand: JK5Q2, Bet: 328, Type:2
Hand: JA8K4, Bet: 580, Type:2
Hand: Q28J6, Bet: 350, Type:2
Hand: Q2TQ5, Bet: 525, Type:2
Hand: Q379J, Bet: 837, Type:2
Hand: Q3A99, Bet: 38, Type:2
Hand: Q5776, Bet: 129, Type:2
Hand: Q5866, Bet: 861, Type:2
Hand: Q5A8J, Bet: 238, Type:2
Hand: Q767K, Bet: 138, Type:2
Hand: Q7AA2, Bet: 79, Type:2
Hand: Q94Q2, Bet: 813, Type:2
Hand: Q9T79, Bet: 524, Type:2
Hand: QT5JK, Bet: 906, Type:2
Hand: QTT47, Bet: 748, Type:2
Hand: QQ864, Bet: 675, Type:2
Hand: QK37K, Bet: 144, Type:2
Hand: K2885, Bet: 821, Type:2
Hand: K344T, Bet: 124, Type:2
Hand: K358K, Bet: 563, Type:2
Hand: K4556, Bet: 57, Type:2
Hand: K4J87, Bet: 769, Type:2
Hand: K4KT5, Bet: 420, Type:2
Hand: K6QJ7, Bet: 696, Type:2
Hand: K6K45, Bet: 209, Type:2
Hand: K79JA, Bet: 718, Type:2
Hand: K84J2, Bet: 100, Type:2
Hand: K93K5, Bet: 67, Type:2
Hand: K9798, Bet: 660, Type:2
Hand: KT9J4, Bet: 960, Type:2
Hand: KQ3A3, Bet: 586, Type:2
Hand: KQK54, Bet: 918, Type:2
Hand: KK6Q4, Bet: 575, Type:2
Hand: KKQ92, Bet: 326, Type:2
Hand: KA52J, Bet: 651, Type:2
Hand: KAK5T, Bet: 894, Type:2
Hand: KAA92, Bet: 818, Type:2
Hand: A2883, Bet: 452, Type:2
Hand: A2Q5J, Bet: 37, Type:2
Hand: A32QQ, Bet: 181, Type:2
Hand: A383Q, Bet: 557, Type:2
Hand: A5574, Bet: 590, Type:2
Hand: A7KA8, Bet: 731, Type:2
Hand: A7A8T, Bet: 659, Type:2
Hand: A886Q, Bet: 492, Type:2
Hand: A9Q7A, Bet: 291, Type:2
Hand: AT9J3, Bet: 447, Type:2
Hand: AJKT8, Bet: 940, Type:2
Hand: AAQK2, Bet: 52, Type:2
Hand: 2255Q, Bet: 86, Type:3
Hand: 22665, Bet: 103, Type:3
Hand: 22K4K, Bet: 870, Type:3
Hand: 22KK6, Bet: 306, Type:3
Hand: 26336, Bet: 594, Type:3
Hand: 2929K, Bet: 424, Type:3
Hand: 2A2KA, Bet: 436, Type:3
Hand: 2AKAK, Bet: 77, Type:3
Hand: 2AA26, Bet: 738, Type:3
Hand: 32553, Bet: 825, Type:3
Hand: 336QQ, Bet: 715, Type:3
Hand: 3434Q, Bet: 219, Type:3
Hand: 36673, Bet: 329, Type:3
Hand: 36993, Bet: 287, Type:3
Hand: 37322, Bet: 455, Type:3
Hand: 37735, Bet: 782, Type:3
Hand: 37973, Bet: 197, Type:3
Hand: 38223, Bet: 23, Type:3
Hand: 39943, Bet: 62, Type:3
Hand: 39K9K, Bet: 584, Type:3
Hand: 3KAAK, Bet: 980, Type:3
Hand: 43553, Bet: 885, Type:3
Hand: 43T34, Bet: 175, Type:3
Hand: 44229, Bet: 724, Type:3
Hand: 44339, Bet: 327, Type:3
Hand: 44TAT, Bet: 666, Type:3
Hand: 44QQ6, Bet: 873, Type:3
Hand: 45A45, Bet: 179, Type:3
Hand: 46554, Bet: 862, Type:3
Hand: 47Q47, Bet: 650, Type:3
Hand: 4TT33, Bet: 829, Type:3
Hand: 4TT43, Bet: 426, Type:3
Hand: 4QQ77, Bet: 146, Type:3
Hand: 4KK55, Bet: 595, Type:3
Hand: 52952, Bet: 897, Type:3
Hand: 52QQ5, Bet: 458, Type:3
Hand: 54646, Bet: 232, Type:3
Hand: 55449, Bet: 472, Type:3
Hand: 556Q6, Bet: 589, Type:3
Hand: 55AA9, Bet: 857, Type:3
Hand: 56TT6, Bet: 225, Type:3
Hand: 575AA, Bet: 237, Type:3
Hand: 58835, Bet: 359, Type:3
Hand: 5Q5AA, Bet: 697, Type:3
Hand: 5K59K, Bet: 313, Type:3
Hand: 62TT6, Bet: 567, Type:3
Hand: 65657, Bet: 848, Type:3
Hand: 69559, Bet: 598, Type:3
Hand: 6Q56Q, Bet: 304, Type:3
Hand: 6QQ68, Bet: 397, Type:3
Hand: 6A6AK, Bet: 165, Type:3
Hand: 7722A, Bet: 923, Type:3
Hand: 778TT, Bet: 290, Type:3
Hand: 787KK, Bet: 81, Type:3
Hand: 7TT33, Bet: 504, Type:3
Hand: 7QKQ7, Bet: 166, Type:3
Hand: 84483, Bet: 140, Type:3
Hand: 85548, Bet: 677, Type:3
Hand: 858TT, Bet: 670, Type:3
Hand: 8668T, Bet: 720, Type:3
Hand: 87668, Bet: 644, Type:3
Hand: 877K8, Bet: 431, Type:3
Hand: 88779, Bet: 615, Type:3
Hand: 8T9T8, Bet: 843, Type:3
Hand: 8TT33, Bet: 895, Type:3
Hand: 8QKKQ, Bet: 1000, Type:3
Hand: 92294, Bet: 893, Type:3
Hand: 92297, Bet: 795, Type:3
Hand: 92626, Bet: 774, Type:3
Hand: 94T9T, Bet: 27, Type:3
Hand: 96688, Bet: 40, Type:3
Hand: 96946, Bet: 235, Type:3
Hand: 97479, Bet: 863, Type:3
Hand: 9922A, Bet: 430, Type:3
Hand: 996A6, Bet: 661, Type:3
Hand: 9Q7Q9, Bet: 278, Type:3
Hand: 9Q8Q8, Bet: 881, Type:3
Hand: 9K96K, Bet: 414, Type:3
Hand: 9A49A, Bet: 676, Type:3
Hand: T22KT, Bet: 158, Type:3
Hand: T355T, Bet: 722, Type:3
Hand: T66AT, Bet: 711, Type:3
Hand: T77KK, Bet: 159, Type:3
Hand: T8558, Bet: 384, Type:3
Hand: T966T, Bet: 616, Type:3
Hand: T9898, Bet: 457, Type:3
Hand: T99TK, Bet: 844, Type:3
Hand: T9T33, Bet: 645, Type:3
Hand: TT353, Bet: 480, Type:3
Hand: TT494, Bet: 777, Type:3
Hand: TT5QQ, Bet: 202, Type:3
Hand: TQT2Q, Bet: 317, Type:3
Hand: TKATK, Bet: 344, Type:3
Hand: Q33AQ, Bet: 355, Type:3
Hand: Q3Q53, Bet: 394, Type:3
Hand: Q3AA3, Bet: 707, Type:3
Hand: Q66QA, Bet: 761, Type:3
Hand: Q88TT, Bet: 611, Type:3
Hand: Q9AQA, Bet: 976, Type:3
Hand: QT66T, Bet: 135, Type:3
Hand: QQKK5, Bet: 421, Type:3
Hand: QKQTK, Bet: 852, Type:3
Hand: QA3QA, Bet: 936, Type:3
Hand: K55K6, Bet: 335, Type:3
Hand: K5TK5, Bet: 494, Type:3
Hand: K66AK, Bet: 810, Type:3
Hand: K74K7, Bet: 513, Type:3
Hand: K788K, Bet: 635, Type:3
Hand: K9QQK, Bet: 785, Type:3
Hand: KQ33Q, Bet: 228, Type:3
Hand: KKQQ2, Bet: 972, Type:3
Hand: A5599, Bet: 271, Type:3
Hand: A77A4, Bet: 530, Type:3
Hand: AQA4Q, Bet: 122, Type:3
Hand: AKA6K, Bet: 964, Type:3
Hand: AA399, Bet: 835, Type:3
Hand: AA5K5, Bet: 356, Type:3
Hand: AA669, Bet: 372, Type:3
Hand: AA886, Bet: 24, Type:3
Hand: 22432, Bet: 265, Type:4
Hand: 22462, Bet: 606, Type:4
Hand: 24J4T, Bet: 8, Type:4
Hand: 26665, Bet: 568, Type:4
Hand: 27292, Bet: 273, Type:4
Hand: 29224, Bet: 781, Type:4
Hand: 2TT5T, Bet: 859, Type:4
Hand: 2J585, Bet: 991, Type:4
Hand: 2Q228, Bet: 625, Type:4
Hand: 2A8JJ, Bet: 562, Type:4
Hand: 2AKKK, Bet: 934, Type:4
Hand: 32335, Bet: 900, Type:4
Hand: 32J5J, Bet: 953, Type:4
Hand: 33539, Bet: 799, Type:4
Hand: 3353T, Bet: 773, Type:4
Hand: 33A23, Bet: 325, Type:4
Hand: 33A73, Bet: 871, Type:4
Hand: 34464, Bet: 481, Type:4
Hand: 358JJ, Bet: 295, Type:4
Hand: 3699J, Bet: 474, Type:4
Hand: 38828, Bet: 867, Type:4
Hand: 39JA3, Bet: 475, Type:4
Hand: 39K99, Bet: 479, Type:4
Hand: 3T5TT, Bet: 948, Type:4
Hand: 3T6TT, Bet: 93, Type:4
Hand: 3J23A, Bet: 207, Type:4
Hand: 3J673, Bet: 68, Type:4
Hand: 3QJ39, Bet: 872, Type:4
Hand: 3K337, Bet: 719, Type:4
Hand: 3A833, Bet: 15, Type:4
Hand: 423J3, Bet: 609, Type:4
Hand: 433JT, Bet: 621, Type:4
Hand: 4644Q, Bet: 815, Type:4
Hand: 46454, Bet: 786, Type:4
Hand: 4777K, Bet: 554, Type:4
Hand: 47797, Bet: 523, Type:4
Hand: 4Q333, Bet: 605, Type:4
Hand: 4A2AJ, Bet: 36, Type:4
Hand: 4ATTT, Bet: 464, Type:4
Hand: 522QJ, Bet: 556, Type:4
Hand: 52922, Bet: 83, Type:4
Hand: 52J24, Bet: 277, Type:4
Hand: 538J8, Bet: 515, Type:4
Hand: 54595, Bet: 441, Type:4
Hand: 54A44, Bet: 751, Type:4
Hand: 55475, Bet: 249, Type:4
Hand: 555K2, Bet: 816, Type:4
Hand: 555K3, Bet: 361, Type:4
Hand: 559JQ, Bet: 819, Type:4
Hand: 5658J, Bet: 739, Type:4
Hand: 56636, Bet: 571, Type:4
Hand: 57477, Bet: 147, Type:4
Hand: 5777A, Bet: 459, Type:4
Hand: 588Q8, Bet: 514, Type:4
Hand: 59399, Bet: 521, Type:4
Hand: 5T444, Bet: 842, Type:4
Hand: 5TJT2, Bet: 200, Type:4
Hand: 5J996, Bet: 377, Type:4
Hand: 5JQ66, Bet: 849, Type:4
Hand: 5Q955, Bet: 333, Type:4
Hand: 5KKQK, Bet: 118, Type:4
Hand: 63339, Bet: 865, Type:4
Hand: 64777, Bet: 630, Type:4
Hand: 64K66, Bet: 547, Type:4
Hand: 65QQJ, Bet: 508, Type:4
Hand: 66986, Bet: 971, Type:4
Hand: 6777A, Bet: 364, Type:4
Hand: 696J8, Bet: 974, Type:4
Hand: 69Q66, Bet: 956, Type:4
Hand: 6JQ6A, Bet: 196, Type:4
Hand: 6Q44J, Bet: 363, Type:4
Hand: 72774, Bet: 34, Type:4
Hand: 7388J, Bet: 128, Type:4
Hand: 75377, Bet: 887, Type:4
Hand: 77879, Bet: 3, Type:4
Hand: 77A47, Bet: 614, Type:4
Hand: 79333, Bet: 280, Type:4
Hand: 79T77, Bet: 257, Type:4
Hand: 7J442, Bet: 206, Type:4
Hand: 7J736, Bet: 484, Type:4
Hand: 7J9KK, Bet: 641, Type:4
Hand: 7JQTJ, Bet: 399, Type:4
Hand: 7Q4J7, Bet: 636, Type:4
Hand: 7KT77, Bet: 710, Type:4
Hand: 7KKKQ, Bet: 125, Type:4
Hand: 7AAAK, Bet: 512, Type:4
Hand: 82J87, Bet: 270, Type:4
Hand: 85838, Bet: 794, Type:4
Hand: 85J35, Bet: 156, Type:4
Hand: 86444, Bet: 314, Type:4
Hand: 888T3, Bet: 803, Type:4
Hand: 888A3, Bet: 959, Type:4
Hand: 88JK2, Bet: 63, Type:4
Hand: 899J4, Bet: 53, Type:4
Hand: 8J292, Bet: 798, Type:4
Hand: 8J7TJ, Bet: 222, Type:4
Hand: 8JTTQ, Bet: 349, Type:4
Hand: 8JJ4T, Bet: 541, Type:4
Hand: 8K848, Bet: 268, Type:4
Hand: 92899, Bet: 854, Type:4
Hand: 933J4, Bet: 320, Type:4
Hand: 96299, Bet: 21, Type:4
Hand: 964J6, Bet: 938, Type:4
Hand: 979T9, Bet: 907, Type:4
Hand: 9888K, Bet: 626, Type:4
Hand: 98J28, Bet: 548, Type:4
Hand: 99279, Bet: 608, Type:4
Hand: 9939T, Bet: 318, Type:4
Hand: 996Q9, Bet: 687, Type:4
Hand: 99J2K, Bet: 503, Type:4
Hand: 99A79, Bet: 381, Type:4
Hand: 9TT2T, Bet: 123, Type:4
Hand: 9J698, Bet: 403, Type:4
Hand: 9JAA2, Bet: 243, Type:4
Hand: 9A5AA, Bet: 383, Type:4
Hand: T2T4T, Bet: 448, Type:4
Hand: T3TAJ, Bet: 947, Type:4
Hand: T3J6J, Bet: 169, Type:4
Hand: T4494, Bet: 658, Type:4
Hand: T49TJ, Bet: 274, Type:4
Hand: T55J3, Bet: 903, Type:4
Hand: T6663, Bet: 371, Type:4
Hand: T6999, Bet: 400, Type:4
Hand: T6TTA, Bet: 727, Type:4
Hand: T7776, Bet: 642, Type:4
Hand: T7787, Bet: 465, Type:4
Hand: T7TT5, Bet: 603, Type:4
Hand: TT3T4, Bet: 298, Type:4
Hand: TTT87, Bet: 792, Type:4
Hand: TTT8A, Bet: 543, Type:4
Hand: TTA5T, Bet: 747, Type:4
Hand: TJ8J2, Bet: 983, Type:4
Hand: TJ949, Bet: 154, Type:4
Hand: TQ7JQ, Bet: 577, Type:4
Hand: TQTAT, Bet: 847, Type:4
Hand: TQQKQ, Bet: 373, Type:4
Hand: TK2KJ, Bet: 860, Type:4
Hand: TA666, Bet: 212, Type:4
Hand: TATKT, Bet: 946, Type:4
Hand: TAAJ6, Bet: 510, Type:4
Hand: J277K, Bet: 633, Type:4
Hand: J3T3A, Bet: 674, Type:4
Hand: J4QK4, Bet: 88, Type:4
Hand: J557T, Bet: 226, Type:4
Hand: J5635, Bet: 793, Type:4
Hand: J63J7, Bet: 717, Type:4
Hand: J68AJ, Bet: 194, Type:4
Hand: J6AA8, Bet: 382, Type:4
Hand: J7Q5J, Bet: 446, Type:4
Hand: J9QAQ, Bet: 398, Type:4
Hand: J9A98, Bet: 789, Type:4
Hand: JT6T8, Bet: 22, Type:4
Hand: JT7JA, Bet: 191, Type:4
Hand: JT822, Bet: 245, Type:4
Hand: JTJ67, Bet: 733, Type:4
Hand: JTQQ6, Bet: 735, Type:4
Hand: JTK2J, Bet: 286, Type:4
Hand: JTA88, Bet: 389, Type:4
Hand: JJ867, Bet: 925, Type:4
Hand: JJK53, Bet: 58, Type:4
Hand: JQ2J8, Bet: 171, Type:4
Hand: JQ662, Bet: 535, Type:4
Hand: JQ6AJ, Bet: 826, Type:4
Hand: JK355, Bet: 164, Type:4
Hand: JK49K, Bet: 583, Type:4
Hand: JK4K8, Bet: 468, Type:4
Hand: JK767, Bet: 405, Type:4
Hand: JKQQ5, Bet: 91, Type:4
Hand: JA556, Bet: 703, Type:4
Hand: JA62A, Bet: 345, Type:4
Hand: JA9TJ, Bet: 574, Type:4
Hand: JAT4J, Bet: 730, Type:4
Hand: JAA7K, Bet: 347, Type:4
Hand: Q4QQ5, Bet: 764, Type:4
Hand: Q64QQ, Bet: 234, Type:4
Hand: Q6646, Bet: 927, Type:4
Hand: Q76J7, Bet: 599, Type:4
Hand: Q777K, Bet: 552, Type:4
Hand: Q7Q6Q, Bet: 874, Type:4
Hand: Q8868, Bet: 618, Type:4
